producto,fecha,CostesModelo,CostesEmpresa,Coste_Total_XGB,Coste_Total_STCK2,Coste_Total_XGB2
3,2019-11-21,488.0,3464.0,497.0,541.0,731.0
3,2019-11-22,486.0,3448.0,480.0,551.0,765.0
3,2019-11-23,277.0,3671.0,358.0,246.0,225.0
3,2019-11-25,322.0,2867.0,376.0,308.0,507.0
3,2019-11-26,254.0,2669.0,350.0,254.0,264.0
3,2019-11-27,251.0,2988.0,399.0,255.0,346.0
3,2019-11-28,522.0,3296.0,482.0,535.0,655.0
3,2019-11-29,819.0,2735.0,773.0,818.0,964.0
3,2019-11-30,219.0,3077.0,311.0,210.0,304.0
3,2019-12-02,434.0,2686.0,426.0,475.0,518.0
3,2019-12-03,418.0,2899.0,397.0,361.0,488.0
3,2019-12-04,357.0,3736.0,359.0,379.0,369.0
3,2019-12-05,607.0,3207.0,699.0,668.0,718.0
3,2019-12-06,487.0,2331.0,590.0,424.0,420.0
3,2019-12-07,284.0,1449.0,302.0,184.0,118.0
3,2019-12-09,434.0,1179.0,397.0,507.0,479.0
3,2019-12-10,336.0,767.0,374.0,340.0,540.0
3,2019-12-11,357.0,1389.0,365.0,291.0,350.0
3,2019-12-12,535.0,1226.0,506.0,475.0,646.0
3,2019-12-13,525.0,618.0,669.0,653.0,707.0
3,2019-12-14,94.0,1083.0,293.0,119.0,210.0
3,2019-12-16,454.0,1621.0,497.0,550.0,655.0
3,2019-12-17,297.0,2106.0,352.0,315.0,353.0
3,2019-12-18,311.0,2956.0,325.0,247.0,141.0
3,2019-12-19,606.0,4089.0,470.0,491.0,627.0
3,2019-12-20,343.0,2549.0,402.0,327.0,330.0
3,2019-12-21,156.0,1554.0,301.0,128.0,121.0
3,2019-12-23,434.0,1620.0,407.0,349.0,407.0
3,2019-12-24,364.0,1220.0,407.0,298.0,278.0
3,2019-12-26,658.0,3464.0,437.0,443.0,797.0
3,2019-12-27,420.0,1285.0,389.0,458.0,583.0
3,2019-12-28,165.0,1844.0,287.0,109.0,175.0
3,2019-12-30,583.0,1498.0,381.0,331.0,469.0
3,2019-12-31,304.0,2622.0,325.0,228.0,296.0
3,2020-01-02,519.0,4116.0,476.0,503.0,357.0
3,2020-01-03,712.0,1928.0,727.0,730.0,846.0
3,2020-01-04,100.0,2256.0,294.0,193.0,177.0
3,2020-01-07,362.0,1708.0,279.0,278.0,159.0
3,2020-01-08,282.0,1389.0,267.0,287.0,311.0
