predictions,producto,predictions_SMAX,predictions_SVR,predictions_XGB,predictions_XG2,predictions_STCK2,predictions_LSTM
0.0,1,2430.0,5476.0,0.0,1.0,1434.0,2333.0
0.0,1,933.0,5476.0,2973.0,3127.0,4614.0,6273.0
0.0,1,4109.0,5476.0,1614.0,3554.0,947.0,3071.0
0.0,1,1176.0,5476.0,982.0,1431.0,1044.0,1894.0
0.0,1,0.0,6159.0,4074.0,4503.0,4283.0,5593.0
0.0,1,2987.0,5476.0,3113.0,654.0,1680.0,3420.0
0.0,1,2541.0,5476.0,696.0,1167.0,463.0,1234.0
0.0,1,637.0,5476.0,3756.0,4060.0,4674.0,5268.0
0.0,1,3812.0,5476.0,1614.0,3554.0,1834.0,2681.0
0.0,1,880.0,5476.0,690.0,1167.0,538.0,838.0
0.0,1,0.0,6318.0,3600.0,5024.0,4634.0,6423.0
0.0,1,2691.0,5476.0,2083.0,700.0,1054.0,3008.0
0.0,1,2245.0,5476.0,0.0,1.0,841.0,992.0
0.0,1,637.0,5476.0,3059.0,4106.0,3918.0,5652.0
0.0,1,3812.0,5476.0,1614.0,3554.0,1193.0,2560.0
0.0,1,4067.0,5476.0,2122.0,1276.0,1483.0,1609.0
0.0,2,18183.0,2788.0,2537.0,1916.0,2797.0,2682.0
0.0,2,18217.0,2229.0,788.0,683.0,916.0,622.0
0.0,2,16395.0,2658.0,2341.0,2194.0,2534.0,2424.0
0.0,2,19585.0,2229.0,1447.0,1556.0,1507.0,1368.0
0.0,2,16654.0,2229.0,1579.0,2465.0,1460.0,1407.0
0.0,2,14780.0,2402.0,2234.0,2007.0,2416.0,2091.0
0.0,2,18466.0,2638.0,2443.0,2499.0,2498.0,2160.0
0.0,2,18021.0,2229.0,716.0,887.0,638.0,368.0
0.0,2,16412.0,2637.0,2377.0,2823.0,2628.0,2205.0
0.0,2,19588.0,2229.0,1671.0,2883.0,1524.0,1525.0
0.0,2,16655.0,2229.0,1291.0,337.0,1229.0,1211.0
0.0,2,14780.0,2595.0,2350.0,2538.0,2487.0,2187.0
0.0,2,18466.0,2623.0,2220.0,2263.0,2444.0,2195.0
0.0,2,18021.0,2229.0,669.0,1342.0,657.0,539.0
0.0,2,16597.0,2359.0,2423.0,2463.0,2458.0,2402.0
0.0,2,19773.0,2229.0,1686.0,2746.0,1865.0,1631.0
0.0,2,16840.0,2372.0,2232.0,2007.0,2486.0,2604.0
0.0,2,14965.0,2691.0,2698.0,3080.0,2630.0,2266.0
0.0,2,14397.0,2229.0,1354.0,809.0,1414.0,586.0
0.0,2,18205.0,2229.0,847.0,1120.0,891.0,1007.0
0.0,2,12455.0,2229.0,1703.0,1740.0,1185.0,1400.0
0.0,2,19884.0,2229.0,1850.0,1758.0,1906.0,1873.0
0.0,2,16951.0,2229.0,1389.0,711.0,1465.0,1289.0
0.0,2,15077.0,2229.0,2264.0,1895.0,2182.0,2449.0
0.0,2,18762.0,2229.0,1989.0,1773.0,2418.0,2157.0
0.0,2,18317.0,2229.0,769.0,1131.0,774.0,539.0
0.0,2,16412.0,2679.0,2465.0,1925.0,2604.0,2556.0
0.0,2,19588.0,2229.0,1733.0,2554.0,1620.0,1476.0
0.0,2,16655.0,2229.0,1741.0,1919.0,1574.0,1496.0
0.0,2,14780.0,2521.0,2289.0,3165.0,2454.0,2104.0
0.0,2,18466.0,2229.0,1672.0,2865.0,2110.0,1825.0
0.0,2,18021.0,2229.0,525.0,374.0,400.0,266.0
0.0,2,16412.0,2580.0,2316.0,2494.0,2544.0,2324.0
0.0,2,19588.0,2229.0,1290.0,1206.0,1309.0,1235.0
0.0,2,12402.0,2229.0,645.0,1323.0,367.0,27.0
0.0,2,14780.0,2229.0,2122.0,2525.0,2114.0,1859.0
0.0,2,18466.0,2229.0,1724.0,2551.0,1862.0,1638.0
0.0,2,18021.0,2229.0,201.0,191.0,120.0,0.0
0.0,2,16412.0,2229.0,2149.0,1916.0,2003.0,1990.0
0.0,2,19588.0,2229.0,978.0,312.0,920.0,779.0
0.0,2,12150.0,2229.0,91.0,1.0,0.0,0.0
0.0,2,14529.0,2229.0,2233.0,2007.0,1735.0,1969.0
0.0,2,18215.0,2456.0,2398.0,5039.0,2042.0,2199.0
0.0,2,17769.0,2229.0,435.0,630.0,565.0,0.0
0.0,2,12344.0,2229.0,952.0,584.0,1168.0,362.0
0.0,2,19773.0,2229.0,1089.0,1431.0,1241.0,1284.0
0.0,2,16840.0,2229.0,702.0,724.0,827.0,1086.0
0.0,2,14965.0,2531.0,2318.0,2823.0,2528.0,2175.0
0.0,2,18651.0,2670.0,2202.0,1937.0,2800.0,2533.0
0.0,2,18205.0,2229.0,527.0,374.0,888.0,664.0
0.0,2,16709.0,2229.0,1654.0,1838.0,1989.0,1817.0
0.0,2,19884.0,2229.0,1310.0,1307.0,1732.0,1258.0
0.0,2,16951.0,2229.0,962.0,1180.0,1417.0,939.0
0.0,2,15077.0,2229.0,2384.0,3033.0,2383.0,2127.0
0.0,2,18762.0,2773.0,2589.0,1494.0,2812.0,2578.0
0.0,2,18317.0,2229.0,845.0,1172.0,893.0,552.0
0.0,2,16412.0,2229.0,1672.0,2211.0,1883.0,1946.0
0.0,2,19588.0,2229.0,1242.0,1447.0,1441.0,1211.0
0.0,2,16655.0,2229.0,821.0,973.0,771.0,709.0
0.0,2,14780.0,2229.0,2184.0,1916.0,2337.0,1824.0
0.0,2,18466.0,2519.0,2400.0,2616.0,2444.0,2096.0
0.0,2,18021.0,2229.0,674.0,415.0,581.0,307.0
0.0,2,16412.0,2229.0,1741.0,1919.0,1757.0,1619.0
0.0,2,19588.0,2229.0,1504.0,2403.0,1453.0,1553.0
