predictions,producto,predictions_XGB,predictions_XG2,predictions_STCK2,predictions_LSTM
0.0,4,2385.0,2392.0,2306.0,1999.0
0.0,4,3594.0,3185.0,3860.0,3565.0
0.0,4,4117.0,2738.0,3324.0,3357.0
0.0,4,4353.0,3035.0,3758.0,4026.0
0.0,4,4607.0,3977.0,3758.0,3902.0
0.0,4,3826.0,3250.0,2679.0,3183.0
0.0,4,2233.0,2271.0,1341.0,2124.0
0.0,4,3728.0,3132.0,3004.0,2694.0
0.0,4,4405.0,4684.0,3806.0,4065.0
0.0,4,3941.0,2716.0,3522.0,2828.0
0.0,4,4412.0,4128.0,4470.0,4700.0
0.0,4,4516.0,4055.0,4716.0,5526.0
0.0,4,2133.0,1409.0,2035.0,1359.0
0.0,4,4210.0,3611.0,3969.0,3366.0
0.0,4,4308.0,4555.0,3740.0,3387.0
0.0,4,3011.0,3115.0,3113.0,3047.0
0.0,4,4929.0,2586.0,4553.0,3816.0
0.0,4,4428.0,3840.0,3806.0,3247.0
0.0,4,2158.0,1404.0,1611.0,1587.0
0.0,4,3996.0,3873.0,4145.0,3135.0
0.0,4,3478.0,3344.0,3237.0,3058.0
0.0,4,5080.0,2724.0,4963.0,5108.0
0.0,4,3818.0,4427.0,3122.0,2335.0
0.0,4,2093.0,1454.0,1521.0,1518.0
0.0,4,4038.0,8049.0,3802.0,3433.0
0.0,4,3738.0,3733.0,3075.0,2889.0
0.0,4,4935.0,2586.0,4528.0,4512.0
0.0,4,4450.0,3089.0,4523.0,4160.0
0.0,4,1805.0,1945.0,1840.0,1966.0
0.0,4,2829.0,3122.0,2561.0,3304.0
0.0,4,2757.0,2636.0,2873.0,2928.0
0.0,4,4987.0,2458.0,3731.0,4825.0
0.0,4,3936.0,3315.0,4100.0,4280.0
0.0,4,2081.0,1247.0,1815.0,1806.0
0.0,4,3976.0,3043.0,3951.0,3906.0
0.0,4,3323.0,2858.0,3222.0,3096.0
0.0,4,2999.0,2951.0,2922.0,1873.0
0.0,4,4366.0,4993.0,4067.0,4197.0
0.0,4,4248.0,6503.0,3937.0,3497.0
0.0,4,2201.0,1497.0,1564.0,700.0
0.0,4,4679.0,2543.0,4169.0,3221.0
0.0,4,3554.0,2376.0,2739.0,2478.0
0.0,4,3227.0,7827.0,3024.0,2602.0
0.0,4,6502.0,7135.0,4502.0,3544.0
0.0,4,5617.0,2395.0,4679.0,5239.0
0.0,4,1379.0,1122.0,1364.0,1299.0
0.0,4,3499.0,2965.0,3747.0,3255.0
0.0,4,3638.0,3305.0,3111.0,3349.0
0.0,4,2945.0,2304.0,3057.0,2842.0
0.0,5,2332.0,2211.0,2277.0,2090.0
0.0,5,1754.0,1742.0,1768.0,1638.0
0.0,5,2083.0,1687.0,1962.0,2041.0
0.0,5,2114.0,2245.0,2116.0,2136.0
0.0,5,2139.0,1694.0,2090.0,2207.0
0.0,5,2191.0,1949.0,2144.0,2070.0
0.0,5,2254.0,1879.0,2188.0,2224.0
0.0,5,1796.0,1884.0,1781.0,1664.0
0.0,5,2031.0,2300.0,1923.0,1942.0
0.0,5,2085.0,1685.0,2092.0,2115.0
0.0,5,2211.0,2018.0,2173.0,2196.0
0.0,5,2071.0,2264.0,2061.0,2008.0
0.0,5,2309.0,2493.0,2164.0,2167.0
0.0,5,1669.0,2761.0,1712.0,1601.0
0.0,5,2210.0,2018.0,2106.0,2251.0
0.0,5,2203.0,2105.0,2254.0,2288.0
0.0,5,2601.0,2603.0,2531.0,2573.0
0.0,5,2063.0,2144.0,1974.0,1996.0
0.0,5,1776.0,1726.0,1690.0,1578.0
0.0,5,1837.0,2265.0,2055.0,1602.0
0.0,5,2139.0,1694.0,2101.0,2003.0
0.0,5,2427.0,2244.0,2396.0,2345.0
0.0,5,2066.0,2215.0,2021.0,1981.0
0.0,5,2161.0,1972.0,2059.0,2098.0
0.0,5,1755.0,1742.0,1796.0,1645.0
0.0,5,1997.0,1924.0,1860.0,2033.0
0.0,5,2065.0,2196.0,1988.0,1982.0
0.0,5,2231.0,2258.0,2125.0,2119.0
0.0,5,2132.0,2352.0,2114.0,2066.0
0.0,5,2186.0,2133.0,2088.0,2156.0
0.0,5,1683.0,1563.0,1688.0,1612.0
0.0,5,1894.0,1842.0,1840.0,1864.0
0.0,5,1870.0,1948.0,1806.0,1839.0
